ACCIDENT_NO,ABS_CODE,Date,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,LONGITUDE,LATITUDE,LGA_NAME,FATALITY,DEG_URBAN_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME,Rainfall amount (millimetres),Maximum temperature (Degree C)
T20140013533,Driving accident,2014/07/01,18:05:00,Collision with vehicle,Monday,144.93956893,-37.78353915,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.4,13.3
T20140013680,Driving accident,2014/07/03,11:00:00,No collision and no object struck,Thursday,144.96674188,-37.80984034,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,13.1
T20140013898,Driving accident,2014/07/03,10:30:00,Fall from or in moving vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,13.1
T20140013771,Driving accident,2014/07/04,17:40:00,No collision and no object struck,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.8
T20140013792,Driving accident,2014/07/04,23:13:00,Collision with vehicle,Thursday,144.9548387,-37.81440355,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,12.8
T20140013905,Driving accident,2014/07/04,07:00:00,No collision and no object struck,Thursday,144.96966051,-37.81018086,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.8
T20140013781,Driving accident,2014/07/04,18:45:00,Collision with vehicle,Friday,144.92796482,-37.82695019,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,12.8
T20140013804,Driving accident,2014/07/05,04:30:00,Collision with a fixed object,Saturday,-1.0,-1.0,MELBOURNE,1.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.3
T20140013888,Driving accident,2014/07/06,11:17:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,13.8
T20140013895,Driving accident,2014/07/06,11:38:00,Collision with vehicle,Sunday,144.93628356,-37.82563183,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.2,13.8
T20140014114,Driving accident,2014/07/09,12:45:00,Struck Pedestrian,Tuesday,144.9583962,-37.82009625,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,11.7
T20140014385,Driving accident,2014/07/12,14:00:00,No collision and no object struck,Saturday,144.97010841,-37.81110426,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,4.4,10.4
T20140014421,Driving accident,2014/07/12,12:59:00,Collision with vehicle,Saturday,144.92399088,-37.82775202,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,4.4,10.4
T20140014781,Driving accident,2014/07/12,18:00:00,Collision with vehicle,Saturday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,4.4,10.4
